Company,Industry,Employees,Male_Employees,Female_Employees,Female_Percentage,Board_Total,Board_Female,Board_Female_Percentage,Attrition_Male,Attrition_Female,Attrition_Total,Climate_Risk,Operations_Scale,Notes,,
Infosys,IT Services,368125,227880,140245,38,8,1,12.5,0,0,20.9,Yes,Global IT Company,High diversity and high attrition,,
Reliance,Oil & Gas,38244,36198,2046,5,14,2,14.29,12,19,13,Yes,Heavy Industry Global Operations,Low diversity but stable workforce,,
